type,ip,userAgent,time,path,headers,geo,abuse,sessionID,id
visit,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T15:44:44.241Z,/admin,[object Object],[object Object],,ClQcig486Rf4hqArtYMR_1KTBhp3rsWK,ece585ff-ab54-4550-8fe9-dd8a7461677a
login_attempt,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T15:44:47.533Z,/admin,[object Object],[object Object],,ClQcig486Rf4hqArtYMR_1KTBhp3rsWK,13dd62fd-0a8d-43fb-832f-cc153ec41588
login_attempt,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T15:44:47.614Z,/admin,[object Object],[object Object],,ClQcig486Rf4hqArtYMR_1KTBhp3rsWK,30a1abd7-75f8-43e2-970f-c712f54d8555
alert_error,,,2025-04-21T15:44:50.526Z,,,,,,65822277-381c-42ac-ac9b-a936a8d24d36
visit,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T15:52:46.739Z,/admin,[object Object],[object Object],,KUGrZSxBsjSZtZCo8sRiY2DD-tNx1RLa,dbaa3305-6aab-448f-9ff4-830cf01ea581
login_attempt,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T15:52:48.946Z,/admin,[object Object],[object Object],,KUGrZSxBsjSZtZCo8sRiY2DD-tNx1RLa,df602f61-ec3a-4fb5-b00c-89010dce3c4e
visit,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T16:25:06.480Z,/admin,[object Object],[object Object],,2CSwCGm9xpQZ-5o6-wkwJjVxOy1OJWPC,8cb7a286-c72f-4df7-8720-6d0afc5f8686
login_attempt,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T16:25:11.749Z,/admin,[object Object],[object Object],,2CSwCGm9xpQZ-5o6-wkwJjVxOy1OJWPC,dc288b52-629c-4af9-8b2b-387d8e2a30e4
login_attempt,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T16:29:45.994Z,/admin,[object Object],[object Object],,2CSwCGm9xpQZ-5o6-wkwJjVxOy1OJWPC,9b1a2d05-05bf-4bbf-aedd-93f2b9eb3fea
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T16:30:41.226Z,/shell?output=bash%3A%20%3A%20command%20not%20found,,,,,90df45c7-9968-4c42-a32d-e8264ab3f4e7
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T16:30:42.442Z,/shell?output=bash%3A%20F%3A%20command%20not%20found,,,,,284e0241-57a2-482f-8455-f7092fba3664
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T16:30:42.511Z,/shell?output=bash%3A%20FE%3A%20command%20not%20found,,,,,51fdcac0-8f26-410b-ba4b-e8878840e9a3
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T16:30:45.023Z,/shell?output=bash%3A%20%3A%20command%20not%20found,,,,,7689f80b-c522-4bb0-a040-c0d222e352c8
login_attempt,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T16:41:07.828Z,/admin,[object Object],[object Object],,2acmW2pBAt3ig9WjLmRTftZk36hCp9HT,83417c60-a042-4c6d-9ba7-f3c7f5008b3b
login_attempt,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T16:46:46.685Z,/admin,[object Object],[object Object],,2acmW2pBAt3ig9WjLmRTftZk36hCp9HT,476c7a77-93f8-4ef1-a0b7-8755340e74e2
fakefile_access,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T16:49:28.886Z,/db,,,,,ff77f09a-3a19-4d02-b237-03d722aed027
visit,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T16:53:33.534Z,/admin,[object Object],[object Object],,Jnxd0xEjiQCXDWBHdA1Bi71IcUeGP7bm,f2e04c7d-6c03-4afd-9422-7e56e16ed4d0
visit,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T16:53:55.123Z,/admin,[object Object],[object Object],,-GwxXLxoBEWA-ek-hLisMt6NM0BraWQC,10e2cc2b-5ccc-4942-b76a-97ef9dfce27c
login_attempt,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T16:54:20.997Z,/admin,[object Object],[object Object],,-GwxXLxoBEWA-ek-hLisMt6NM0BraWQC,9b34e732-3691-43e1-8b58-74fe6be0f400
login_attempt,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T16:54:21.866Z,/admin,[object Object],[object Object],,-GwxXLxoBEWA-ek-hLisMt6NM0BraWQC,8d31b9ff-c314-4775-9760-0d3020ca4a02
login_attempt,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:01:34.899Z,/admin,[object Object],[object Object],,-GwxXLxoBEWA-ek-hLisMt6NM0BraWQC,2448839a-bca1-415a-beb3-e29f2b3e6806
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:11:53.048Z,/shell,,,,,3677874d-19e1-42cd-8fab-b221b342953a
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:11:54.094Z,/shell?output=bash%3A%20cwe%3A%20command%20not%20found,,,,,90e82570-c9ce-495d-94ee-ed0303f1f16b
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:11:54.165Z,/shell?output=bash%3A%20cwe%3A%20command%20not%20found,,,,,785c240b-dc31-4922-abe3-826c8a8e23a2
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:11:55.387Z,/shell?output=bash%3A%20%3A%20command%20not%20found,,,,,5af3fb72-ba78-46f5-ac41-30d0d8b167f6
visit,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:13:28.839Z,/admin,[object Object],[object Object],,d2SjEbpDDIteBXptDe-qENnbMVWc4Vu6,f09e86ca-f62b-47cc-9253-dde3ef276cef
login_attempt,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:13:36.004Z,/admin,[object Object],[object Object],,d2SjEbpDDIteBXptDe-qENnbMVWc4Vu6,a8dd231c-4667-4591-8832-757597e2865e
visit,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:14:59.166Z,/admin,[object Object],[object Object],,ibdqjlQOXvYOiCEzRBu19WxEFR5XBXNi,c788922e-1b7d-4afe-b184-08f01465cdc8
visit,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:14:59.564Z,/admin,[object Object],[object Object],,uhzeXdQNlqrRKnXiiAw4UnHShYiviLXY,13d4ee39-1819-4063-8db5-7d364217e752
visit,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:15:01.299Z,/admin,[object Object],[object Object],,uhzeXdQNlqrRKnXiiAw4UnHShYiviLXY,b2339289-d278-4391-85cb-981a936a6303
visit,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:15:01.720Z,/admin,[object Object],[object Object],,uhzeXdQNlqrRKnXiiAw4UnHShYiviLXY,8f9a4618-6b44-41f5-84e0-dc62d34a857a
login_attempt,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:15:05.755Z,/admin,[object Object],[object Object],,uhzeXdQNlqrRKnXiiAw4UnHShYiviLXY,f51638ca-2b29-4b5c-ab5c-bd99164944f9
login_attempt,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:16:08.179Z,/admin,[object Object],[object Object],,POknlJ3hfrRWEXW0ie4PEabx8PhY2mWw,bfd17173-5695-4152-86cf-4be542d698a7
visit,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:17:15.400Z,/admin,[object Object],[object Object],,hmLHwH3WZvRwv3Tk0MkfCa_l6usrRuLx,49c186cd-d505-4431-a331-1bfc2b15c916
login_attempt,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:17:18.826Z,/admin,[object Object],[object Object],,hmLHwH3WZvRwv3Tk0MkfCa_l6usrRuLx,f17dea96-fb41-4bd3-bd0c-659d6f948307
login_attempt,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:17:19.132Z,/admin,[object Object],[object Object],,hmLHwH3WZvRwv3Tk0MkfCa_l6usrRuLx,e1bec72b-4b6e-428c-b908-e688916259da
alert_error,,,2025-04-21T17:17:21.353Z,,,,,,b9cbb633-7a19-4ab1-8793-1ad2d3493dd9
visit,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:19:53.893Z,/admin,[object Object],[object Object],,_BZPUVx68Nn4WiRRJke4B1Jvtpx4tacR,38115e09-9ff7-46e4-8587-0b927ae75f5c
login_attempt,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:19:58.438Z,/admin,[object Object],[object Object],,_BZPUVx68Nn4WiRRJke4B1Jvtpx4tacR,360ec88a-2531-4e60-878a-f0d2d217fa45
login_attempt,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:19:59.267Z,/admin,[object Object],[object Object],,_BZPUVx68Nn4WiRRJke4B1Jvtpx4tacR,16015c14-5290-4518-9b41-5a9f10f9ee15
alert_error,,,2025-04-21T17:20:01.035Z,,,,,,7b8e3896-48ef-4623-8c07-a85f3acba9c1
alert_error,,,2025-04-21T17:20:02.466Z,,,,,,57ac4899-1e3a-4b64-ba33-c7ebdf9989ca
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:21:07.344Z,/shell,,,,,9e2a728f-45ae-4fa8-a84e-fafe918b1c94
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:21:08.364Z,/shell?output=bash%3A%20wedw%3A%20command%20not%20found,,,,,e85ba0d3-62fe-4af9-a832-8887eb492c11
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:21:09.143Z,/shell?output=bash%3A%20dwedw%3A%20command%20not%20found,,,,,eb22c414-5ccf-438d-9fe3-f1f27556204e
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T17:21:10.018Z,/shell?output=bash%3A%20dwd%3A%20command%20not%20found,,,,,5aa5a063-8760-4988-9315-96bd0bbdf669
